query_id,method,ndcg@10,recall@100,recip_rank
420,bm25,1.0,1.0,1.0
422,bm25,0.0,0.0,0.0
423,bm25,0.38685280723454163,1.0,0.2
425,bm25,1.0,1.0,1.0
426,bm25,0.5,1.0,0.3333333333333333
428,bm25,0.38685280723454163,1.0,0.2
429,bm25,1.0,1.0,1.0
430,bm25,0.0,0.0,0.0
432,bm25,1.0,1.0,1.0
434,bm25,0.0,1.0,0.02
435,bm25,0.0,1.0,0.010638297872340425
441,bm25,0.6309297535714575,1.0,0.5
444,bm25,1.0,1.0,1.0
445,bm25,0.2890648263178879,1.0,0.1
447,bm25,0.6309297535714575,1.0,0.5
448,bm25,1.0,1.0,1.0
449,bm25,0.38162168437253385,1.0,0.14285714285714285
453,bm25,1.0,1.0,1.0
454,bm25,1.0,1.0,1.0
455,bm25,0.0,1.0,0.0625
456,bm25,1.0,1.0,1.0
458,bm25,1.0,1.0,1.0
461,bm25,1.0,1.0,1.0
463,bm25,0.2890648263178879,1.0,0.1
466,bm25,1.0,1.0,1.0
469,bm25,0.3010299956639812,1.0,0.1111111111111111
470,bm25,1.0,1.0,1.0
472,bm25,0.6256646589861505,1.0,0.5
473,bm25,0.0,0.0,0.0
474,bm25,0.0,0.0,0.0
479,bm25,1.0,1.0,1.0
480,bm25,1.0,1.0,1.0
481,bm25,1.0,1.0,1.0
482,bm25,1.0,1.0,1.0
483,bm25,0.6309297535714575,1.0,0.5
484,bm25,0.0,1.0,0.01818181818181818
485,bm25,1.0,1.0,1.0
486,bm25,0.0,1.0,0.018518518518518517
487,bm25,1.0,1.0,1.0
488,bm25,1.0,1.0,1.0
489,bm25,0.31546487678572877,1.0,0.125
490,bm25,1.0,1.0,1.0
492,bm25,1.0,1.0,1.0
493,bm25,0.0,1.0,0.0625
494,bm25,0.6309297535714575,1.0,0.5
495,bm25,0.3562071871080222,1.0,0.16666666666666666
498,bm25,0.3562071871080222,1.0,0.16666666666666666
499,bm25,1.0,1.0,1.0
500,bm25,1.0,1.0,1.0
504,bm25,1.0,1.0,1.0
505,bm25,1.0,1.0,1.0
506,bm25,0.3562071871080222,1.0,0.16666666666666666
509,bm25,0.0,1.0,0.014925373134328358
515,bm25,1.0,1.0,1.0
523,bm25,1.0,1.0,1.0
524,bm25,1.0,1.0,1.0
526,bm25,0.6309297535714575,1.0,0.5
529,bm25,0.5726073975563163,1.0,0.3333333333333333
530,bm25,0.431992295847858,1.0,0.25
531,bm25,0.618890676363047,1.0,0.5
537,bm25,1.0,1.0,1.0
541,bm25,0.15642624200758548,1.0,0.14285714285714285
542,bm25,1.0,1.0,1.0
545,bm25,0.0,1.0,0.0625
547,bm25,1.0,1.0,1.0
548,bm25,0.0,0.0,0.0
550,bm25,0.5,1.0,0.3333333333333333
553,bm25,1.0,1.0,1.0
555,bm25,0.3562071871080222,1.0,0.16666666666666666
557,bm25,0.5,1.0,0.3333333333333333
559,bm25,0.0,0.0,0.0
562,bm25,1.0,1.0,1.0
563,bm25,1.0,1.0,1.0
564,bm25,1.0,1.0,1.0
565,bm25,1.0,1.0,1.0
566,bm25,1.0,1.0,1.0
568,bm25,1.0,1.0,1.0
570,bm25,1.0,1.0,1.0
571,bm25,1.0,1.0,1.0
572,bm25,0.0,0.0,0.0
573,bm25,1.0,1.0,1.0
574,bm25,1.0,1.0,1.0
576,bm25,1.0,1.0,1.0
579,bm25,1.0,1.0,1.0
580,bm25,1.0,1.0,1.0
582,bm25,1.0,1.0,1.0
584,bm25,1.0,1.0,1.0
585,bm25,0.43067655807339306,1.0,0.25
588,bm25,0.3562071871080222,1.0,0.16666666666666666
590,bm25,1.0,1.0,1.0
591,bm25,1.0,1.0,1.0
592,bm25,1.0,1.0,1.0
594,bm25,1.0,1.0,1.0
595,bm25,1.0,1.0,1.0
600,bm25,1.0,1.0,1.0
601,bm25,1.0,1.0,1.0
602,bm25,0.0,1.0,0.04
603,bm25,1.0,1.0,1.0
606,bm25,0.38685280723454163,1.0,0.2
607,bm25,1.0,1.0,1.0
609,bm25,0.0,0.0,0.0
610,bm25,0.0,0.0,0.0
611,bm25,1.0,1.0,1.0
612,bm25,1.0,1.0,1.0
614,bm25,1.0,1.0,1.0
615,bm25,1.0,1.0,1.0
616,bm25,0.0,0.0,0.0
617,bm25,0.0,0.0,0.0
618,bm25,0.0,1.0,0.022222222222222223
620,bm25,0.0,0.0,0.0
621,bm25,1.0,1.0,1.0
622,bm25,0.31546487678572877,1.0,0.125
624,bm25,1.0,1.0,1.0
625,bm25,1.0,1.0,1.0
626,bm25,1.0,1.0,1.0
631,bm25,1.0,1.0,1.0
632,bm25,1.0,1.0,1.0
